date,nav,dayChange,scheme_code
2023-12-18,102.0508,0.0291999999999887,119718
2023-12-19,102.1479,0.0971000000000117,119718
2023-12-21,101.0882,-1.0597000000000063,119718
2023-12-22,101.5462,0.4579999999999984,119718
2023-12-26,101.8019,0.2557000000000045,119718
2023-12-27,102.714,0.9120999999999952,119718
2023-12-28,103.3288,0.6148000000000025,119718
2023-12-29,103.4481,0.1192999999999955,119718
2024-01-01,103.5824,0.1343000000000103,119718
2024-01-02,103.225,-0.3574000000000126,119718
2024-01-03,103.0245,-0.200499999999991,119718
2024-01-04,104.0764,1.0519000000000034,119718
2024-01-05,104.1522,0.0757999999999867,119718
2024-01-08,103.4092,-0.742999999999995,119718
2024-01-09,103.6951,0.285899999999998,119718
2024-01-10,103.9348,0.2396999999999991,119718
2024-01-11,104.243,0.3081999999999993,119718
2024-01-12,105.0317,0.7887000000000057,119718
2024-01-15,105.4643,0.4325999999999936,119718
2024-01-16,105.0785,-0.385799999999989,119718
2024-01-17,103.5686,-1.5099000000000018,119718
2024-01-18,103.5028,-0.06580000000001,119718
2024-01-19,104.4772,0.9744000000000028,119718
2024-01-23,103.1241,-1.3530999999999975,119718
2024-01-24,104.0999,0.9758000000000068,119718
2024-01-25,103.7549,-0.3449999999999988,119718
2024-01-29,105.3035,1.548599999999993,119718
2024-01-30,104.7202,-0.5832999999999942,119718
2024-01-31,105.742,1.021799999999999,119718
2024-02-01,105.5535,-0.1885000000000047,119718
2024-02-02,105.9574,0.4039000000000072,119718
2024-02-05,105.5646,-0.3928000000000082,119718
2024-02-06,106.2274,0.6628000000000043,119718
2024-02-07,106.3796,0.1521999999999934,119718
2024-02-08,105.7236,-0.6559999999999917,119718
2024-02-09,105.3815,-0.342100000000002,119718
2024-02-12,103.7935,-1.588000000000008,119718
2024-02-13,104.1794,0.3859000000000065,119718
2024-02-14,104.7937,0.6143000000000001,119718
2024-02-15,105.4543,0.6606000000000023,119718
2024-02-16,105.8942,0.4398999999999944,119718
2024-02-19,106.1001,0.2058999999999997,119718
2024-02-20,106.1807,0.080600000000004,119718
2024-02-21,105.5299,-0.6508000000000038,119718
2024-02-22,106.1406,0.6107000000000085,119718
2024-02-23,106.3645,0.2239000000000004,119718
2024-02-26,106.0982,-0.2663000000000011,119718
2024-02-27,106.3829,0.2847000000000008,119718
2024-02-28,105.2594,-1.123500000000007,119718
2024-02-29,105.5053,0.245900000000006,119718
2024-03-01,106.5808,1.075499999999991,119718
2024-03-04,106.897,0.3162000000000091,119718
2024-03-05,106.6222,-0.274799999999999,119718
2024-03-06,106.7342,0.1119999999999947,119718
2024-03-07,106.7777,0.0434999999999945,119718
2024-03-11,106.2343,-0.5433999999999912,119718
2024-03-12,105.6287,-0.6056000000000097,119718
2024-03-13,103.0035,-2.6251999999999924,119718
2024-03-14,104.4017,1.3982000000000028,119718
2024-03-15,104.0001,-0.4016000000000019,119718
2024-03-18,104.2949,0.294799999999995,119718
2024-03-19,103.5632,-0.7317000000000036,119718
2024-03-20,103.5505,-0.0126999999999952,119718
2024-03-21,104.7935,1.242999999999995,119718
2024-03-22,105.551,0.7575000000000074,119718
2024-03-26,105.5386,-0.0123999999999995,119718
2024-03-27,105.8552,0.316599999999994,119718
2024-03-28,106.5808,0.7256,119718
2024-03-31,106.575,-0.0057999999999935,119718
2024-04-01,107.8174,1.2424000000000035,119718
2024-04-02,108.0996,0.2821999999999889,119718
2024-04-03,108.3496,0.25,119718
2024-04-04,108.3446,-0.0049999999999954,119718
2024-04-05,108.7002,0.3555999999999955,119718
2024-04-08,109.2028,0.502600000000001,119718
2024-04-09,109.1603,-0.0424999999999897,119718
2024-04-10,109.9039,0.7435999999999865,119718
2024-04-12,109.246,-0.6578999999999979,119718
2024-04-15,107.8565,-1.3894999999999982,119718
2024-04-16,107.6606,-0.1958999999999946,119718
2024-04-18,107.2731,-0.3875000000000028,119718
2024-04-19,107.6455,0.3723999999999989,119718
2024-04-22,108.6238,0.9783000000000044,119718
