category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
Small Cap,Kotak Small Cap Fund,Nifty Smallcap 250 TRI,6.99101,13.897585,14.167626
Small Cap,LIC MF Small Cap Fund,Nifty Smallcap 250 TRI,15.457705,18.95899,18.688229
Small Cap,Mahindra Manulife Small Cap Fund,BSE 250 Smallcap TRI,16.319618,22.428436,
Small Cap,Mirae Asset Small Cap Fund,Nifty Smallcap 250 TRI,12.078825,,
Small Cap,Motilal Oswal Small Cap Fund,Nifty Smallcap 250 TRI,24.266422,,
Small Cap,Nippon India Small Cap Fund,Nifty Smallcap 250 TRI,10.150018,17.722012,19.933283
Small Cap,PGIM India Small Cap Fund,Nifty Smallcap 250 TRI,13.222668,17.092993,14.6303625
Small Cap,Quant Small Cap Fund,Nifty Smallcap 250 TRI,14.619128,19.481092,19.233612
Small Cap,Quantum Small Cap Fund,BSE 250 Smallcap TRI,10.791925,,
Small Cap,SBI Small Cap Fund,BSE 250 Smallcap TRI,7.8014865,12.963236,14.881651
Small Cap,Samco Small Cap Fund,Nifty Smallcap 250 TRI,,,
Small Cap,Sundaram Small Cap Fund,Nifty Smallcap 250 TRI,17.253582,18.9371,18.156311
Small Cap,TRUSTMF Small Cap Fund,Nifty Smallcap 250 TRI,31.11111,,
Small Cap,Tata Small Cap Fund,Nifty Smallcap 250 TRI,-1.2487752,13.274515,15.815926
Small Cap,The Wealth Company Small Cap Fund,Nifty Smallcap 250 TRI,,,
Small Cap,UTI Small Cap Fund,Nifty Smallcap 250 TRI,8.008179,16.644163,16.571535
Small Cap,Union Small Cap Fund,BSE 250 Smallcap TRI,22.26142,19.832232,17.91051
Value,Aditya Birla Sun Life Value Fund,Nifty 500 TRI,15.054267,17.37603,15.182962
Value,Axis Value Fund,Nifty 500 TRI,12.571428,19.993586,
Value,Bandhan Value Fund,BSE 500 TRI,4.555573,12.537495,14.13825
Value,Baroda BNP Paribas Value Fund,Nifty 500 TRI,4.0945435,11.033342,
Value,Canara Robeco Value Fund,BSE 500 TRI,2.1309772,13.247842,
Value,Groww Value Fund,Nifty 500 TRI,5.415944,15.552811,13.215059
Value,HDFC Value Fund,Nifty 500 TRI,10.43921,17.841965,15.59593
Value,HSBC Value Fund,Nifty 500 TRI,5.925632,18.851622,17.418293
Value,ICICI Prudential Value Fund,Nifty 500 TRI,1.8390579,14.5837345,16.472425
Value,ITI Value Fund,Nifty 500 TRI,7.4457464,15.095843,13.636781
Value,JM Value Fund,BSE 500 TRI,2.0461357,15.226503,16.021412
Value,LIC MF Value Fund,Nifty 500 TRI,24.491615,19.53161,15.220316
Value,Mahindra Manulife Value Fund,Nifty 500 TRI,16.649836,,
Value,Nippon India Value Fund,Nifty 500 TRI,3.6828716,17.162432,15.519916
Value,Quant Value Fund,Nifty 500 TRI,19.702791,22.50474,
Value,Quantum Value Fund,BSE 500 TRI,-0.37890503,12.336157,11.263856
Value,Sundaram Value Fund,Nifty 500 TRI,-1.3746247,8.607267,9.927766
Value,Tata Value Fund,Nifty 500 TRI,5.7715607,14.990596,15.282074
Value,Templeton India Value Fund,Nifty 500 TRI,1.4293184,12.241777,15.242757
Value,UTI Value Fund,Nifty 500 TRI,2.5395625,14.717023,12.773613
Value,Union Value Fund,BSE 500 TRI,6.6509113,15.009288,14.437042
ELSS,Aditya Birla Sun Life ELSS Tax Saver Fund,Nifty 500 TRI,6.0107656,13.334554,9.679009
ELSS,Axis ELSS Tax Saver Fund,Nifty 500 TRI,4.70311,12.514299,8.282948
ELSS,Bajaj Finserv ELSS Tax Saver Fund,BSE 500 TRI,8.725437,,
