category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Multi Cap,TRUSTMF Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,19.4,,,152584,TRUSTMF Flexi Cap Fund-Direct Plan- Growth
Multi Cap,Tata Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.921793,13.048298,,151232,Tata Multicap Fund - Direct Plan - Growth
Multi Cap,UTI Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.9601502,,,150659,LIC MF Multi Cap Fund-Direct Plan-Growth
Multi Cap,Union Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.686807,17.011822,,149383,Axis Multicap Fund - Direct Growth
Multi Cap,WhiteOak Capital Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.547495,,,152071,WhiteOak Capital Multi Cap Fund Direct Plan Growth
Mid Cap,Aditya Birla Sun Life Mid Cap Fund,Nifty Midcap 150 TRI,10.759458,18.151697,15.693181,148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth
Mid Cap,Axis Midcap Fund,BSE Midcap 150 TRI,9.626809,18.564692,14.95706,149383,Axis Multicap Fund - Direct Growth
Mid Cap,Bank of India Mid Cap Fund,Nifty Midcap 150 TRI,,,,153728,Bank of India Mid Cap Fund - Direct Plan Growth
Mid Cap,Baroda BNP Paribas Mid Cap Fund,Nifty Midcap 150 TRI,14.809783,20.029451,16.851362,148474,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option
Mid Cap,Canara Robeco Mid Cap Fund,BSE Midcap 150 TRI,9.147026,19.627884,,150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option
Mid Cap,DSP Midcap Fund,Nifty Midcap 150 TRI,9.13626,17.258785,13.071841,119071,DSP Midcap Fund - Direct Plan - Growth
Mid Cap,Edelweiss Mid Cap Fund,Nifty Midcap 150 TRI,11.475761,23.812626,19.778908,152094,Edelweiss Multi Cap Fund - Direct Plan - Growth
Mid Cap,Franklin India Mid Cap Fund,Nifty Midcap 150 TRI,6.1453457,18.596245,15.5777645,118533,Franklin India Mid Cap Fund - Direct - Growth
Mid Cap,HSBC Mid Cap Fund,Nifty Midcap 150 TRI,21.16697,26.194756,19.574024,151036,HSBC Midcap Fund - Direct Growth
Mid Cap,Helios Mid Cap Fund,Nifty Midcap 150 TRI,17.637272,,,153326,Helios Mid Cap Fund - Direct Plan - Growth Option
Mid Cap,ICICI Prudential Midcap Fund,Nifty Midcap 150 TRI,16.560452,23.902735,18.436733,120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth
Mid Cap,ITI Mid Cap Fund,Nifty Midcap 150 TRI,14.494553,23.350216,17.472866,120726,UTI Mid Cap Fund-Growth Option- Direct
Mid Cap,Invesco India Mid Cap Fund,BSE Midcap 150 TRI,13.740672,26.260286,20.971579,120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth
